Date: 2025-09-23 | Vehicle: AUTO | Trips: 2237 | Revenue: $ 477108.06
Date: 2025-09-23 | Vehicle: BIKE | Trips: 2176 | Revenue: $ 456590.38
Date: 2025-09-23 | Vehicle: TAXI | Trips: 2189 | Revenue: $ 472203.43
Date: 2025-09-24 | Vehicle: AUTO | Trips: 4805 | Revenue: $ 1030380.65
Date: 2025-09-24 | Vehicle: BIKE | Trips: 4785 | Revenue: $ 1017319.9
Date: 2025-09-24 | Vehicle: TAXI | Trips: 4797 | Revenue: $ 1026704.26
Date: 2025-09-25 | Vehicle: AUTO | Trips: 4805 | Revenue: $ 1022960.38
Date: 2025-09-25 | Vehicle: BIKE | Trips: 4834 | Revenue: $ 1014848.84
Date: 2025-09-25 | Vehicle: TAXI | Trips: 4762 | Revenue: $ 1007679.96
Date: 2025-09-26 | Vehicle: AUTO | Trips: 4834 | Revenue: $ 1027207.03
Date: 2025-09-26 | Vehicle: BIKE | Trips: 4797 | Revenue: $ 1014716.62
Date: 2025-09-26 | Vehicle: TAXI | Trips: 4771 | Revenue: $ 1014622.48
Date: 2025-09-27 | Vehicle: AUTO | Trips: 4730 | Revenue: $ 1030974.3
Date: 2025-09-27 | Vehicle: BIKE | Trips: 4785 | Revenue: $ 1014436.18
Date: 2025-09-27 | Vehicle: TAXI | Trips: 4723 | Revenue: $ 998026.79
Date: 2025-09-28 | Vehicle: AUTO | Trips: 4693 | Revenue: $ 996905.66
Date: 2025-09-28 | Vehicle: BIKE | Trips: 4812 | Revenue: $ 1033417.2
Date: 2025-09-28 | Vehicle: TAXI | Trips: 4967 | Revenue: $ 1059662.58
Date: 2025-09-29 | Vehicle: AUTO | Trips: 4710 | Revenue: $ 978733.67
Date: 2025-09-29 | Vehicle: BIKE | Trips: 4662 | Revenue: $ 996301.9
Date: 2025-09-29 | Vehicle: TAXI | Trips: 4759 | Revenue: $ 1026087.04
Date: 2025-09-30 | Vehicle: AUTO | Trips: 4776 | Revenue: $ 1009393.52
Date: 2025-09-30 | Vehicle: BIKE | Trips: 4756 | Revenue: $ 1003808.94
Date: 2025-09-30 | Vehicle: TAXI | Trips: 4813 | Revenue: $ 1030437.6
Date: 2025-10-01 | Vehicle: AUTO | Trips: 4718 | Revenue: $ 1007580.61
Date: 2025-10-01 | Vehicle: BIKE | Trips: 4959 | Revenue: $ 1060716.34
Date: 2025-10-01 | Vehicle: TAXI | Trips: 4726 | Revenue: $ 996689.63
Date: 2025-10-02 | Vehicle: AUTO | Trips: 4802 | Revenue: $ 1011380.01
Date: 2025-10-02 | Vehicle: BIKE | Trips: 4717 | Revenue: $ 1002844.22
Date: 2025-10-02 | Vehicle: TAXI | Trips: 4801 | Revenue: $ 1024000.79
Date: 2025-10-03 | Vehicle: AUTO | Trips: 4787 | Revenue: $ 1032525.21
Date: 2025-10-03 | Vehicle: BIKE | Trips: 4856 | Revenue: $ 1031739.74
Date: 2025-10-03 | Vehicle: TAXI | Trips: 4910 | Revenue: $ 1053444.15
Date: 2025-10-04 | Vehicle: AUTO | Trips: 4724 | Revenue: $ 1007567.44
Date: 2025-10-04 | Vehicle: BIKE | Trips: 4697 | Revenue: $ 993464.97
Date: 2025-10-04 | Vehicle: TAXI | Trips: 4729 | Revenue: $ 1005224.07
Date: 2025-10-05 | Vehicle: AUTO | Trips: 4803 | Revenue: $ 1009150.19
Date: 2025-10-05 | Vehicle: BIKE | Trips: 4771 | Revenue: $ 1015366.79
Date: 2025-10-05 | Vehicle: TAXI | Trips: 4633 | Revenue: $ 974801.29
Date: 2025-10-06 | Vehicle: AUTO | Trips: 4886 | Revenue: $ 1037637.15
Date: 2025-10-06 | Vehicle: BIKE | Trips: 4726 | Revenue: $ 1007199.35
Date: 2025-10-06 | Vehicle: TAXI | Trips: 4609 | Revenue: $ 979142.24
Date: 2025-10-07 | Vehicle: AUTO | Trips: 4790 | Revenue: $ 1021200.97
Date: 2025-10-07 | Vehicle: BIKE | Trips: 4815 | Revenue: $ 1022648.82
